x,close
2015-12-30,37.5
2015-12-29,37.96
2015-12-28,37.51
2015-12-25,38.5
2015-12-24,38.12
2015-12-23,37.71
2015-12-22,38.66
2015-12-21,39.59
2015-12-18,39.23
2015-12-17,38.76
2015-12-16,37.66
2015-12-15,37.01
2015-12-14,36.41
2015-12-11,35.88
2015-12-10,37.11
2015-12-09,37.19
2015-12-08,37.98
2015-12-07,39.7
2015-12-04,36.55
2015-12-03,37.65
2015-12-02,37.69
2015-12-01,37.83
2015-11-30,36.86
2015-11-27,35.46
2015-11-26,37.58
2015-11-25,38.61
2015-11-24,37.24
2015-11-23,37.38
2015-11-20,36.82
2015-11-19,36.62
2015-11-18,35.84
2015-11-17,36.67
2015-11-16,37.14
2015-11-13,37.52
2015-11-12,38.62
2015-11-11,38.47
2015-11-10,39.86
2015-11-09,39.46
2015-11-06,39.46
2015-11-05,39.46
2015-11-04,35.87
2015-11-03,32.61
2015-11-02,32.61
2015-10-30,32.61
2015-10-29,32.61
2015-10-28,32.61
2015-10-27,32.61
2015-10-26,32.61
2015-10-23,32.61
2015-10-22,32.61
2015-10-21,32.61
2015-10-20,32.61
2015-10-19,32.61
2015-10-16,32.61
2015-10-15,32.61
2015-10-14,32.61
2015-10-13,32.61
2015-10-12,32.61
2015-10-09,32.61
2015-10-08,32.61
2015-09-30,32.61
2015-09-29,31.26
2015-09-28,30.0
2015-09-25,28.89
2015-09-24,29.36
2015-09-23,29.0
2015-09-22,29.42
2015-09-21,29.77
2015-09-18,28.11
2015-09-17,28.13
2015-09-16,28.69
2015-09-15,26.49
2015-09-14,27.08
2015-09-11,29.15
2015-09-10,29.55
2015-09-09,29.36
2015-09-08,28.41
2015-09-07,27.32
2015-09-02,27.37
2015-09-01,27.16
2015-08-31,29.15
2015-08-28,30.39
2015-08-27,28.85
2015-08-26,27.05
2015-08-25,27.22
2015-08-24,30.11
2015-08-21,33.46
2015-08-20,35.53
2015-08-19,36.43
2015-08-18,36.09
2015-08-17,37.62
