x,close
2015-12-30,16.62
2015-12-29,16.45
2015-12-28,16.46
2015-12-25,17.23
2015-12-24,16.99
2015-12-23,17.39
2015-12-22,17.82
2015-12-21,17.54
2015-12-18,17.52
2015-12-17,17.26
2015-12-16,16.94
2015-12-15,16.48
2015-12-14,16.34
2015-12-11,16.46
2015-12-10,16.6
2015-12-09,16.48
2015-12-08,17.16
2015-12-07,16.87
2015-12-04,16.83
2015-12-03,17.04
2015-12-02,16.47
2015-12-01,17.09
2015-11-30,16.89
2015-11-27,17.47
2015-11-26,19.42
2015-11-25,18.32
2015-11-24,18.44
2015-11-23,18.81
2015-11-20,19.91
2015-11-19,19.53
2015-11-18,18.51
2015-11-17,19.62
2015-11-16,19.55
2015-11-13,19.12
2015-11-12,20.64
2015-11-11,21.25
2015-11-10,20.21
2015-11-09,20.07
2015-11-06,18.42
2015-11-05,17.26
2015-11-04,17.35
2015-11-03,16.36
2015-11-02,15.87
2015-10-30,16.39
2015-10-29,16.32
2015-10-28,16.17
2015-10-27,16.76
2015-10-26,17.14
2015-10-23,17.89
2015-10-22,16.26
2015-10-21,14.79
2015-10-20,15.38
2015-10-19,13.98
2015-10-16,14.25
2015-10-15,14.21
2015-10-14,13.65
2015-10-13,14.31
2015-10-12,13.93
2015-10-09,13.45
2015-10-08,12.9
2015-09-30,12.37
2015-09-29,12.16
2015-09-28,12.47
2015-09-25,11.71
2015-09-24,12.5
2015-09-23,12.41
2015-09-22,12.87
2015-09-21,11.95
2015-09-18,11.07
2015-09-17,10.88
2015-09-16,11.25
2015-09-15,10.24
2015-09-14,11.38
2015-09-11,12.64
2015-09-10,12.33
2015-09-09,12.86
2015-09-08,12.4
2015-09-07,11.57
2015-09-02,10.95
2015-09-01,11.15
2015-08-31,11.53
2015-08-28,12.1
2015-08-27,11.14
2015-08-26,10.27
2015-08-25,10.73
2015-08-24,11.92
2015-08-21,13.24
2015-08-20,14.71
2015-08-19,14.69
2015-08-18,14.66
2015-08-17,16.28
2015-08-14,15.75
2015-08-13,15.02
2015-08-12,14.78
2015-08-11,15.09
2015-08-10,15.03
2015-08-07,14.38
2015-08-06,13.84
2015-08-05,13.12
2015-08-04,12.89
2015-08-03,11.81
2015-07-31,11.65
2015-07-30,12.77
2015-07-29,13.35
2015-07-28,12.62
2015-07-27,13.94
2015-07-24,15.49
2015-07-23,16.16
2015-07-22,15.82
2015-07-21,16.25
2015-07-20,15.67
2015-07-17,14.24
2015-07-16,13.28
2015-07-15,13.19
2015-07-14,13.04
2015-07-13,11.86
2015-07-10,10.78
2015-07-09,10.78
2015-07-08,10.78
2015-07-07,10.78
2015-07-06,11.98
2015-07-03,13.3
2015-07-02,14.78
2015-07-01,16.42
2015-06-30,18.25
2015-06-29,16.87
2015-06-26,18.75
2015-06-25,20.83
2015-06-24,22.87
2015-06-23,22.95
2015-06-19,21.89
2015-06-18,23.98
2015-06-17,25.82
2015-06-16,25.63
2015-06-15,27.97
2015-06-12,29.47
2015-06-11,28.62
2015-06-10,28.55
2015-06-09,26.84
2015-06-08,26.71
2015-06-05,27.46
2015-06-04,28.11
2015-06-03,26.7
2015-06-02,27.49
2015-06-01,24.99
2015-05-29,22.72
2015-05-28,21.94
2015-05-27,23.26
2015-05-26,23.83
2015-05-25,23.68
2015-05-22,21.93
2015-05-21,20.61
2015-05-20,18.74
2015-05-19,18.33
2015-05-18,18.2
2015-05-15,18.16
2015-05-14,18.77
2015-05-13,18.74
2015-05-12,17.03
2015-05-11,16.92
2015-05-08,16.27
2015-05-07,15.39
2015-05-06,15.59
2015-05-05,16.2
2015-05-04,17.33
2015-04-30,17.49
2015-04-29,17.27
2015-04-28,17.1
2015-04-27,18.12
2015-04-24,17.17
2015-04-23,17.13
2015-04-22,17.38
2015-04-21,17.14
2015-04-20,16.29
2015-04-17,17.14
2015-04-16,17.16
2015-04-15,17.21
2015-04-14,18.01
2015-04-13,18.98
2015-04-10,18.92
2015-04-09,17.73
2015-04-08,18.06
2015-04-07,18.73
2015-04-03,17.84
2015-04-02,16.21
2015-04-01,15.66
2015-03-31,15.45
2015-03-30,15.37
2015-03-27,15.6
2015-03-26,15.57
2015-03-25,17.01
2015-03-24,15.47
2015-03-23,15.95
2015-03-20,15.2
2015-03-19,15.35
2015-03-18,15.89
2015-03-17,15.98
2015-03-16,15.48
2015-03-13,15.18
2015-03-12,15.04
2015-03-11,15.33
2015-03-10,16.06
2015-03-09,16.42
2015-03-06,14.93
2015-03-05,15.68
2015-03-04,14.25
2015-03-03,14.19
2015-03-02,13.46
2015-02-27,12.24
2015-02-26,11.89
2015-02-25,11.61
2015-02-17,10.55
2015-02-16,10.53
2015-02-13,10.34
2015-02-12,10.18
2015-02-11,10.22
2015-02-10,10.09
2015-02-09,9.97
2015-02-06,10.31
2015-02-05,10.74
2015-02-04,10.4
2015-02-03,10.09
2015-02-02,9.81
2015-01-30,9.82
2015-01-29,9.81
2015-01-28,10.34
2015-01-27,9.88
2015-01-26,9.83
2015-01-23,9.66
2015-01-22,9.84
2015-01-21,9.48
2015-01-20,9.1
2015-01-19,8.85
2015-01-16,9.25
2015-01-15,9.33
2015-01-14,9.42
2015-01-13,9.15
2015-01-12,9.04
2015-01-09,8.93
2015-01-08,9.11
2015-01-07,9.11
2015-01-06,8.99
2015-01-05,8.92
2014-12-31,8.67
2014-12-30,8.6
2014-12-29,8.84
2014-12-26,9.36
2014-12-25,9.34
2014-12-24,9.09
2014-12-23,8.93
2014-12-22,9.24
2014-12-19,10.27
2014-12-18,10.8
2014-12-17,10.82
2014-12-16,11.0
2014-12-15,11.16
2014-12-12,10.47
2014-12-11,10.4
2014-12-10,10.37
2014-12-09,10.22
2014-12-08,10.68
2014-12-05,10.84
2014-12-04,10.97
2014-12-03,10.95
2014-12-02,10.82
2014-12-01,10.8
2014-11-28,10.9
2014-11-27,10.79
2014-11-26,10.66
2014-11-25,10.79
2014-11-24,10.83
2014-11-21,10.66
2014-11-20,10.76
2014-11-19,10.61
2014-11-18,10.32
2014-11-17,10.39
2014-11-14,10.24
2014-11-13,10.32
2014-11-12,10.76
2014-11-11,10.74
2014-11-10,10.78
2014-11-07,10.78
2014-11-06,11.14
2014-11-05,11.64
2014-11-04,11.17
2014-11-03,11.2
2014-10-31,11.19
2014-10-30,11.36
2014-10-29,11.28
2014-10-28,11.08
2014-10-27,10.92
2014-10-24,10.59
2014-10-23,10.67
2014-10-22,10.62
2014-10-21,11.12
2014-10-20,11.08
2014-10-17,10.95
2014-10-16,11.99
2014-10-15,12.27
2014-10-14,12.25
2014-10-13,12.48
2014-10-10,13.02
2014-10-09,12.3
2014-10-08,11.19
2014-09-30,10.17
2014-09-29,9.24
2014-09-26,8.4
2014-09-25,7.63
2014-09-24,6.94
2014-09-23,6.94
2014-09-22,6.94
2014-09-19,6.94
2014-09-18,6.94
2014-09-17,6.94
2014-09-16,6.94
2014-09-15,6.94
2014-09-12,6.94
2014-09-11,6.94
2014-09-10,6.94
2014-09-09,6.94
2014-09-05,6.94
2014-09-04,6.94
2014-09-03,6.94
2014-09-02,6.94
2014-09-01,6.94
2014-08-29,6.94
2014-08-28,6.94
2014-08-27,6.94
2014-08-26,6.94
2014-08-25,6.96
2014-08-22,7.02
2014-08-21,7.13
2014-08-20,7.02
2014-08-19,6.92
2014-08-18,6.9
2014-08-15,6.76
2014-08-14,6.58
2014-08-13,6.7
2014-08-12,6.7
2014-08-11,6.59
2014-08-08,6.52
2014-08-07,6.49
2014-08-06,6.55
2014-08-05,6.57
2014-08-04,6.55
2014-08-01,6.47
2014-07-31,6.46
2014-07-30,6.37
2014-07-29,6.38
2014-07-28,6.39
2014-07-25,6.34
2014-07-24,6.34
2014-07-23,6.41
2014-07-22,6.3
2014-07-21,6.27
2014-07-18,6.36
2014-07-17,6.33
2014-07-16,6.4
2014-07-15,6.35
2014-07-14,6.33
2014-07-11,6.19
2014-07-10,6.11
2014-07-09,6.1
2014-07-08,6.23
2014-07-07,6.24
2014-07-04,6.12
2014-07-03,6.14
2014-07-02,6.13
2014-07-01,6.11
2014-06-30,6.11
2014-06-27,6.03
2014-06-26,6.01
2014-06-25,5.94
2014-06-24,5.98
2014-06-23,5.96
2014-06-20,5.91
2014-06-19,5.91
2014-06-18,6.02
2014-06-17,6.02
2014-06-16,6.12
2014-06-13,6.1
2014-06-12,6.05
2014-06-11,5.98
2014-06-10,6.01
2014-06-09,6.02
2014-06-06,6.09
2014-06-05,6.09
2014-06-04,6.06
2014-06-03,6.14
2014-05-30,6.12
2014-05-29,6.19
2014-05-28,6.16
2014-05-27,6.09
2014-05-26,6.25
2014-05-23,6.23
2014-05-22,6.21
2014-05-21,6.19
2014-05-20,6.21
2014-05-19,6.3
2014-05-16,6.33
2014-05-15,6.35
2014-05-14,6.61
2014-05-13,6.57
2014-05-12,6.88
2014-05-09,6.83
2014-05-08,6.85
2014-05-07,6.56
2014-05-06,6.84
2014-05-05,6.75
2014-04-30,6.5
2014-04-29,6.42
2014-04-28,6.35
2014-04-25,6.71
2014-04-24,7.05
2014-04-23,7.2
2014-04-22,7.19
2014-04-21,7.25
2014-04-18,7.13
2014-04-17,6.48
2014-04-16,6.32
2014-04-15,6.3
2014-04-14,6.39
2014-04-11,6.37
2014-04-10,6.35
2014-04-09,6.38
2014-04-08,6.34
2014-04-04,6.3
2014-04-03,6.18
2014-04-02,6.15
2014-04-01,6.18
2014-03-31,6.12
2014-03-28,6.16
2014-03-27,6.26
2014-03-26,6.39
2014-03-25,6.37
2014-03-24,6.37
2014-03-21,6.31
2014-03-20,6.16
2014-03-19,6.3
2014-03-18,6.29
2014-03-17,6.21
2014-03-14,6.17
2014-03-13,6.1
2014-03-12,6.14
2014-03-11,6.29
2014-03-10,6.24
2014-03-07,6.52
2014-03-06,6.66
2014-03-05,6.67
2014-03-04,6.5
2014-03-03,6.42
2014-02-28,6.37
2014-02-27,6.3
2014-02-26,6.43
2014-02-25,6.29
2014-02-24,6.7
2014-02-21,6.6
2014-02-20,6.57
2014-02-19,6.58
2014-02-18,6.46
2014-02-17,6.35
2014-02-14,6.04
2014-02-13,5.95
2014-02-12,6.04
2014-02-11,6.04
2014-02-10,6.09
2014-02-07,5.95
2014-01-30,5.92
2014-01-29,5.86
2014-01-28,5.79
2014-01-27,5.85
2014-01-24,5.9
2014-01-23,5.77
2014-01-22,5.81
2014-01-21,5.72
2014-01-20,5.63
2014-01-17,5.55
2014-01-16,5.68
2014-01-15,5.76
2014-01-14,5.65
2014-01-13,5.57
2014-01-10,5.58
2014-01-09,5.72
2014-01-08,5.74
2014-01-07,5.77
2014-01-06,5.83
2014-01-03,5.9
2014-01-02,5.88
2013-12-31,5.88
2013-12-30,5.86
2013-12-27,5.93
2013-12-26,5.89
2013-12-25,5.99
2013-12-24,5.94
2013-12-23,5.88
2013-12-20,5.79
2013-12-19,5.58
2013-12-18,5.73
2013-12-17,5.73
2013-12-16,5.75
2013-12-13,5.9
2013-12-12,5.93
2013-12-11,5.91
2013-12-10,5.94
2013-12-09,5.98
2013-12-06,6.0
2013-12-05,5.98
2013-12-04,6.03
2013-12-03,5.97
2013-12-02,5.88
2013-11-29,6.29
2013-11-28,6.29
2013-11-27,6.27
2013-11-26,6.26
2013-11-25,6.28
2013-11-22,6.3
2013-11-21,6.4
2013-11-20,6.34
2013-11-19,6.28
2013-11-18,6.24
2013-11-15,6.18
2013-11-14,6.12
2013-11-13,6.07
2013-11-12,6.2
2013-11-11,6.08
2013-11-08,6.06
2013-11-07,6.2
2013-11-06,6.18
2013-11-05,6.28
2013-11-04,6.22
2013-11-01,6.31
2013-10-31,6.39
2013-10-30,6.23
2013-10-29,6.18
2013-10-28,6.38
2013-10-25,6.28
2013-10-24,6.32
2013-10-23,6.45
2013-10-22,6.65
2013-10-21,6.71
2013-10-18,6.61
2013-10-17,6.6
2013-10-16,6.73
2013-10-15,6.9
2013-10-14,6.85
2013-10-11,6.69
2013-10-10,6.52
2013-10-09,6.55
2013-10-08,6.59
2013-09-30,6.52
2013-09-27,6.32
2013-09-26,6.22
2013-09-25,6.43
2013-09-24,6.45
2013-09-23,6.52
2013-09-18,6.46
2013-09-17,6.56
2013-09-16,6.6
2013-09-13,6.3
2013-09-12,6.27
2013-09-11,6.41
2013-09-10,6.39
2013-09-09,6.32
2013-09-06,6.34
2013-09-05,6.33
2013-09-04,6.46
2013-09-03,6.48
2013-09-02,6.35
2013-08-30,6.33
2013-08-29,6.43
2013-08-28,6.13
2013-08-27,5.99
2013-08-26,5.96
2013-08-23,5.95
2013-08-22,5.97
2013-08-21,5.95
2013-08-20,5.94
2013-08-19,5.99
2013-08-16,5.91
2013-08-15,5.94
2013-08-14,6.05
2013-08-13,6.07
2013-08-12,6.08
2013-08-09,5.97
2013-08-08,5.95
2013-08-07,5.9
2013-08-06,6.02
2013-08-05,5.94
2013-08-02,5.94
2013-08-01,5.9
2013-07-31,5.78
2013-07-30,5.8
2013-07-29,5.63
2013-07-26,5.8
2013-07-25,5.85
2013-07-24,5.96
2013-07-23,5.97
2013-07-22,5.91
2013-07-19,5.7
2013-07-18,5.79
2013-07-17,5.86
2013-07-16,6.0
2013-07-15,5.92
2013-07-12,5.88
2013-07-11,5.87
2013-07-10,5.76
2013-07-09,5.64
2013-07-08,5.7
2013-07-05,5.99
2013-07-04,5.91
2013-07-03,5.93
