x,close
2016-12-30,16.88
2016-12-29,17.18
2016-12-28,17.24
2016-12-27,17.06
2016-12-26,17.29
2016-12-23,17.59
2016-12-22,17.33
2016-12-21,17.2
2016-12-20,17.33
2016-12-19,17.38
2016-12-16,17.98
2016-12-15,18.04
2016-12-14,18.06
2016-12-13,17.06
2016-12-12,17.19
2016-12-09,17.62
2016-12-08,17.56
2016-12-07,17.83
2016-12-06,17.84
2016-12-05,18.17
2016-12-02,17.57
2016-12-01,15.97
2016-11-30,15.6
2016-11-29,16.21
2016-11-28,16.55
2016-11-25,16.55
2016-11-24,16.6
2016-11-23,16.68
2016-11-22,16.29
2016-11-21,15.81
2016-11-18,15.95
2016-11-17,15.76
2016-11-16,16.35
2016-11-15,16.42
2016-11-14,16.46
2016-11-11,16.46
2016-11-10,16.55
2016-11-09,16.41
2016-11-08,16.35
2016-11-07,16.19
2016-11-04,15.68
2016-11-03,15.96
2016-11-02,15.73
2016-11-01,15.51
2016-10-31,15.3
2016-10-28,15.04
2016-10-27,15.43
2016-10-26,15.27
2016-10-25,14.97
2016-10-24,14.81
2016-10-21,14.6
2016-10-20,14.61
2016-10-19,14.8
2016-10-18,14.72
2016-10-17,14.46
2016-10-14,14.96
2016-10-13,14.92
2016-10-12,14.98
2016-10-11,14.71
2016-10-10,14.7
2016-09-30,14.33
2016-09-29,14.41
2016-09-28,14.2
2016-09-27,14.07
2016-09-26,14.23
2016-09-23,14.31
2016-09-22,14.66
2016-09-21,14.42
2016-09-20,14.61
2016-09-19,13.95
2016-09-14,13.44
2016-09-13,13.38
2016-09-12,13.1
2016-09-09,13.81
2016-09-08,13.66
2016-09-07,13.69
2016-09-06,13.51
2016-09-05,13.26
2016-09-02,13.25
2016-09-01,13.2
2016-08-31,13.36
2016-08-30,13.28
2016-08-29,13.31
2016-08-26,13.19
2016-08-25,12.94
2016-08-24,13.12
2016-08-23,13.0
2016-08-22,12.98
2016-08-19,13.27
2016-08-18,13.59
2016-08-17,13.21
2016-08-16,13.27
2016-08-15,13.12
2016-08-12,12.86
2016-08-11,12.7
2016-08-10,13.08
2016-08-09,13.08
2016-08-08,12.98
2016-08-05,12.99
2016-08-04,12.96
2016-08-03,12.92
2016-08-02,12.9
2016-08-01,12.75
2016-07-29,13.05
2016-07-28,13.15
2016-07-27,13.28
2016-07-26,14.4
2016-07-25,14.17
2016-07-22,14.19
2016-07-21,14.48
2016-07-20,14.52
2016-07-19,14.64
2016-07-18,14.66
2016-07-15,14.43
2016-07-14,14.49
2016-07-13,14.65
2016-07-12,14.64
2016-07-11,14.58
2016-07-08,14.94
2016-07-07,13.92
2016-07-06,14.05
2016-07-05,14.08
2016-07-04,13.94
2016-07-01,13.56
2016-06-30,13.48
2016-06-29,13.56
2016-06-28,13.51
2016-06-27,13.51
2016-06-24,13.37
2016-06-23,13.65
2016-06-22,13.68
2016-06-21,13.71
2016-06-20,14.11
2016-06-17,14.53
2016-06-16,14.43
2016-06-15,14.57
2016-06-14,14.08
2016-06-13,13.89
2016-06-08,14.56
2016-06-07,14.66
2016-06-06,14.55
2016-06-03,14.43
2016-06-02,14.19
2016-06-01,14.09
2016-05-31,13.78
2016-05-30,13.19
2016-05-27,13.14
2016-05-26,13.02
2016-05-25,13.15
2016-05-24,13.29
2016-05-23,13.42
2016-05-20,13.37
2016-05-19,13.29
2016-05-18,13.38
2016-05-17,14.09
2016-05-16,14.21
2016-05-13,13.61
2016-05-12,13.34
2016-05-11,13.7
2016-05-10,13.7
2016-05-09,14.03
2016-05-06,15.59
2016-05-05,17.11
2016-05-04,17.27
2016-05-03,16.98
2016-04-29,16.81
2016-04-28,17.07
2016-04-27,17.29
2016-04-26,16.65
2016-04-25,16.77
2016-04-22,16.98
2016-04-21,16.42
2016-04-20,15.41
2016-04-19,16.72
2016-04-18,16.88
2016-04-15,16.88
2016-04-14,16.96
2016-04-13,15.83
2016-04-12,15.78
2016-04-11,15.14
2016-04-08,14.73
2016-04-07,14.81
2016-04-06,14.97
2016-04-05,15.19
2016-04-01,14.49
2016-03-31,14.57
2016-03-30,14.49
2016-03-29,14.05
2016-03-28,13.84
2016-03-25,14.4
2016-03-24,14.36
2016-03-23,14.83
2016-03-22,14.34
2016-03-21,14.56
2016-03-18,13.95
2016-03-17,13.12
2016-03-16,12.33
2016-03-15,12.01
2016-03-14,12.22
2016-03-11,11.75
2016-03-10,11.97
2016-03-09,12.31
2016-03-08,12.85
2016-03-07,13.05
2016-03-04,12.49
2016-03-03,12.75
2016-03-02,12.97
2016-03-01,12.12
2016-02-29,11.51
2016-02-26,12.31
2016-02-25,11.91
2016-02-24,13.23
2016-02-23,13.81
2016-02-22,13.78
2016-02-19,13.23
2016-02-18,12.24
2016-02-17,12.3
2016-02-16,12.07
2016-02-15,11.33
2016-02-05,10.72
2016-02-04,10.94
2016-02-03,10.7
2016-02-02,10.57
2016-02-01,10.13
2016-01-29,10.3
2016-01-28,9.84
2016-01-27,10.68
2016-01-26,11.28
2016-01-25,12.53
2016-01-22,12.18
2016-01-21,11.95
2016-01-20,12.08
2016-01-19,11.92
2016-01-18,11.27
2016-01-15,10.92
2016-01-14,11.9
2016-01-13,11.44
2016-01-12,12.5
2016-01-11,13.89
2016-01-08,15.43
2016-01-07,14.71
2016-01-06,16.29
2016-01-05,15.87
2016-01-04,15.12
