x,close
2016-12-30,18.2
2016-12-29,17.95
2016-12-28,18.15
2016-12-27,18.14
2016-12-26,18.06
2016-12-23,17.97
2016-12-22,18.28
2016-12-21,18.38
2016-12-20,18.0
2016-12-19,18.09
2016-12-16,18.09
2016-12-15,18.01
2016-12-14,17.82
2016-12-13,17.71
2016-12-12,17.8
2016-12-09,18.92
2016-12-08,18.95
2016-12-07,19.14
2016-12-06,19.0
2016-12-05,18.93
2016-12-02,18.8
2016-12-01,19.33
2016-11-30,19.25
2016-11-29,19.22
2016-11-28,19.77
2016-11-25,20.25
2016-11-24,20.39
2016-11-23,20.31
2016-11-22,20.67
2016-11-21,20.75
2016-11-18,19.83
2016-11-17,19.7
2016-11-16,18.44
2016-11-15,18.58
2016-11-14,18.61
2016-11-11,18.44
2016-11-10,18.39
2016-11-09,18.4
2016-11-08,18.2
2016-11-07,18.2
2016-11-04,17.79
2016-11-03,17.36
2016-11-02,17.35
2016-11-01,17.58
2016-10-31,17.48
2016-10-28,17.41
2016-10-27,17.8
2016-10-26,18.04
2016-10-25,17.7
2016-10-24,17.5
2016-10-21,17.85
2016-10-20,17.78
2016-10-19,17.79
2016-10-18,17.96
2016-10-17,17.71
2016-10-14,18.08
2016-10-13,18.12
2016-10-12,17.7
2016-10-11,17.63
2016-10-10,17.86
2016-09-30,17.57
2016-09-29,17.81
2016-09-28,17.87
2016-09-27,17.94
2016-09-26,17.91
2016-09-23,17.99
2016-09-22,18.2
2016-09-21,18.39
2016-09-20,18.92
2016-09-19,19.08
2016-09-14,19.01
2016-09-13,19.06
2016-09-12,18.89
2016-09-09,19.32
2016-09-08,19.45
2016-09-07,19.44
2016-09-06,19.57
2016-09-05,19.02
2016-09-02,17.72
2016-09-01,17.79
2016-08-31,17.87
2016-08-30,17.36
2016-08-29,17.57
2016-08-26,17.86
2016-08-25,17.79
2016-08-24,17.83
2016-08-23,17.77
2016-08-22,18.1
2016-08-19,17.83
2016-08-18,17.59
2016-08-17,17.25
2016-08-16,17.12
2016-08-15,17.34
2016-08-12,17.14
2016-08-11,17.11
2016-08-10,17.47
2016-08-09,17.82
2016-08-08,17.8
2016-08-05,17.8
2016-08-04,17.69
2016-08-03,17.73
2016-08-02,17.9
2016-08-01,16.78
2016-07-29,16.63
2016-07-28,17.03
2016-07-27,16.64
2016-07-26,17.38
2016-07-25,17.61
2016-07-22,17.69
2016-07-21,18.08
2016-07-20,18.05
2016-07-19,17.81
2016-07-18,17.8
2016-07-15,17.92
2016-07-14,16.9
2016-07-13,16.37
2016-07-12,16.6
2016-07-11,16.8
2016-07-08,16.9
2016-07-07,17.18
2016-07-06,16.28
2016-07-05,16.18
2016-07-04,16.07
2016-07-01,15.97
2016-06-30,16.0
2016-06-29,16.19
2016-06-28,15.82
2016-06-27,16.02
2016-06-24,15.7
2016-06-23,14.74
2016-06-22,14.71
2016-06-21,14.65
2016-06-20,15.04
2016-06-17,15.1
2016-06-16,15.09
2016-06-15,14.7
2016-06-14,14.28
2016-06-13,13.75
2016-06-08,13.9
2016-06-07,14.16
2016-06-06,13.9
2016-06-03,13.53
2016-06-02,13.45
2016-06-01,13.46
2016-05-31,13.39
2016-05-30,12.77
2016-05-27,12.84
2016-05-26,12.51
2016-05-25,12.27
2016-05-24,12.25
2016-05-23,12.63
2016-05-20,12.49
2016-05-19,12.29
2016-05-18,12.16
2016-05-17,12.82
2016-05-16,13.03
2016-05-13,12.26
2016-05-12,11.82
2016-05-11,11.97
2016-05-10,12.01
2016-05-09,12.03
2016-05-06,13.15
2016-05-05,13.85
2016-05-04,13.85
2016-05-03,13.7
2016-04-29,13.39
2016-04-28,13.37
2016-04-27,13.56
2016-04-26,13.56
2016-04-25,13.43
2016-04-22,13.29
2016-04-21,13.14
2016-04-20,13.25
2016-04-19,13.93
2016-04-18,13.73
2016-04-15,14.19
2016-04-14,14.14
2016-04-13,14.4
2016-04-12,13.33
2016-04-11,13.28
2016-04-08,13.01
2016-04-07,13.45
2016-04-06,13.48
2016-04-05,13.45
2016-04-01,13.03
2016-03-31,13.23
2016-03-30,13.35
2016-03-29,12.99
2016-03-28,12.67
2016-03-25,12.56
2016-03-24,12.57
2016-03-23,13.0
2016-03-22,12.82
2016-03-21,12.91
2016-03-18,11.94
2016-03-17,11.27
2016-03-16,10.91
2016-03-15,10.82
2016-03-14,11.05
2016-03-11,10.67
2016-03-10,10.63
2016-03-09,11.01
2016-03-08,11.66
2016-03-07,11.32
2016-03-04,10.56
2016-03-03,11.18
2016-03-02,11.21
2016-03-01,10.38
2016-02-29,9.96
2016-02-26,10.71
2016-02-25,10.69
2016-02-24,11.88
2016-02-23,12.04
2016-02-22,11.76
2016-02-19,11.24
2016-02-18,11.08
2016-02-17,11.21
2016-02-16,10.72
2016-02-15,10.21
2016-02-05,10.44
2016-02-04,10.6
2016-02-03,10.31
2016-02-02,10.45
2016-02-01,10.02
2016-01-29,10.0
2016-01-28,9.63
2016-01-27,10.16
2016-01-26,10.85
2016-01-25,12.06
2016-01-22,11.84
2016-01-21,11.53
2016-01-20,12.15
2016-01-19,12.41
2016-01-18,11.49
2016-01-15,10.92
2016-01-14,11.29
2016-01-13,10.96
2016-01-12,11.96
2016-01-11,11.92
2016-01-08,13.22
2016-01-07,12.94
2016-01-06,14.37
2016-01-05,13.9
2016-01-04,14.23
