,name,time,price,tick,Signal,his_ts_index
0,ss,2009-03-04,5.28,189393.0,1.0,34.0
1,ss,2009-03-09,4.86,189393.0,-1.0,37.0
2,ss,2009-03-13,5.02,183357.0,1.0,41.0
3,ss,2009-04-08,6.14,183357.0,-1.0,58.0
4,ss,2009-04-13,6.82,165075.0,1.0,61.0
5,ss,2009-04-17,6.27,165075.0,-1.0,65.0
6,ss,2009-04-29,5.86,176625.0,1.0,73.0
7,ss,2009-04-30,5.82,176625.0,-1.0,74.0
8,ss,2009-05-04,6.24,164736.0,1.0,75.0
9,ss,2009-05-08,6.23,164736.0,-1.0,79.0
10,ss,2009-05-15,6.11,167972.0,1.0,84.0
11,ss,2009-05-18,6.14,167972.0,-1.0,85.0
12,ss,2009-05-20,6.13,168246.0,1.0,87.0
13,ss,2009-05-21,6.0,168246.0,-1.0,88.0
14,ss,2009-05-27,6.01,167966.0,1.0,92.0
15,ss,2009-06-12,6.48,167966.0,-1.0,102.0
16,ss,2009-06-18,6.73,161726.0,1.0,106.0
17,ss,2009-06-29,7.06,161726.0,-1.0,113.0
18,ss,2009-07-06,7.49,152442.0,1.0,118.0
19,ss,2009-07-13,7.6,152442.0,-1.0,123.0
20,ss,2009-07-14,8.22,140944.0,1.0,124.0
21,ss,2009-07-23,8.81,140944.0,-1.0,131.0
22,ss,2009-07-27,9.24,134385.0,1.0,133.0
23,ss,2009-08-06,9.79,134385.0,-1.0,141.0
24,ss,2009-08-21,7.96,165280.0,1.0,152.0
25,ss,2009-08-24,7.94,165280.0,-1.0,153.0
26,ss,2009-08-25,7.46,175914.0,1.0,154.0
27,ss,2009-08-26,7.46,175914.0,-1.0,155.0
28,ss,2009-09-03,7.04,186409.0,1.0,161.0
29,ss,2009-09-18,6.97,186409.0,-1.0,172.0
30,ss,2009-10-12,6.27,207220.0,1.0,182.0
31,ss,2009-10-27,6.49,207220.0,-1.0,193.0
32,ss,2009-11-03,6.6,203767.0,1.0,198.0
33,ss,2009-11-26,7.24,203767.0,-1.0,215.0
34,ss,2009-12-02,7.35,200717.0,1.0,219.0
35,ss,2009-12-09,7.25,200717.0,-1.0,224.0
36,ss,2009-12-14,7.44,195591.0,1.0,227.0
37,ss,2009-12-16,7.24,195591.0,-1.0,229.0
38,ss,2009-12-28,6.99,202587.0,1.0,237.0
39,ss,2010-01-06,7.09,202587.0,-1.0,243.0
40,ss,2010-01-19,6.79,211538.0,1.0,252.0
41,ss,2010-01-20,6.5,211538.0,-1.0,253.0
42,ss,2010-02-05,5.71,240805.0,1.0,265.0
43,ss,2010-02-09,5.77,240805.0,-1.0,267.0
44,ss,2010-02-11,5.98,232348.0,1.0,269.0
45,ss,2010-02-23,5.84,232348.0,-1.0,272.0
46,ss,2010-02-25,6.02,225401.0,1.0,274.0
47,ss,2010-02-26,5.94,225401.0,-1.0,275.0
48,ss,2010-03-01,6.02,222406.0,1.0,276.0
49,ss,2010-03-02,5.95,222406.0,-1.0,277.0
50,ss,2010-03-10,5.93,223156.0,1.0,283.0
51,ss,2010-03-12,5.88,223156.0,-1.0,285.0
52,ss,2010-03-19,5.92,221648.0,1.0,290.0
53,ss,2010-03-23,5.82,221648.0,-1.0,292.0
54,ss,2010-03-29,5.95,216805.0,1.0,296.0
55,ss,2010-03-31,5.83,216805.0,-1.0,298.0
56,ss,2010-04-01,5.88,214962.0,1.0,299.0
57,ss,2010-04-02,5.92,214962.0,-1.0,300.0
58,ss,2010-04-07,5.9,215690.0,1.0,302.0
59,ss,2010-04-08,5.81,215690.0,-1.0,303.0
60,ss,2010-04-14,5.86,213850.0,1.0,307.0
61,ss,2010-04-16,5.74,213850.0,-1.0,309.0
62,ss,2010-05-13,4.52,271571.0,1.0,327.0
63,ss,2010-05-14,4.44,271571.0,-1.0,328.0
64,ss,2010-05-21,4.2,287089.0,1.0,333.0
65,ss,2010-05-28,4.37,287089.0,-1.0,338.0
66,ss,2010-06-11,4.07,308250.0,1.0,348.0
67,ss,2010-06-18,4.01,308250.0,-1.0,350.0
68,ss,2010-06-21,4.13,299294.0,1.0,351.0
69,ss,2010-06-25,4.03,299294.0,-1.0,355.0
70,ss,2010-07-06,3.86,312475.0,1.0,362.0
71,ss,2010-07-08,3.84,312475.0,-1.0,364.0
72,ss,2010-07-09,3.99,300728.0,1.0,365.0
73,ss,2010-07-15,3.86,300728.0,-1.0,369.0
74,ss,2010-07-19,3.96,293134.0,1.0,371.0
75,ss,2010-07-27,4.09,293134.0,-1.0,377.0
76,ss,2010-07-28,4.25,282098.0,1.0,378.0
77,ss,2010-08-04,4.3,282098.0,-1.0,383.0
78,ss,2010-08-11,4.24,286090.0,1.0,388.0
79,ss,2010-08-12,4.14,286090.0,-1.0,389.0
80,ss,2010-08-16,4.31,274806.0,1.0,391.0
81,ss,2010-08-20,4.21,274806.0,-1.0,395.0
82,ss,2010-08-24,4.34,266574.0,1.0,397.0
83,ss,2010-08-25,4.19,266574.0,-1.0,398.0
84,ss,2010-09-02,4.21,265308.0,1.0,404.0
85,ss,2010-09-03,4.17,265308.0,-1.0,405.0
86,ss,2010-09-06,4.39,252012.0,1.0,406.0
87,ss,2010-09-10,4.23,252012.0,-1.0,410.0
88,ss,2010-09-30,4.09,260639.0,1.0,421.0
89,ss,2010-10-21,4.61,260639.0,-1.0,431.0
90,ss,2010-10-27,4.62,260075.0,1.0,435.0
91,ss,2010-10-29,4.51,260075.0,-1.0,437.0
92,ss,2010-11-01,4.61,254433.0,1.0,438.0
