,name,time,price,tick,Signal
0,ss,2009-03-17,5.32,187969.0,1.0
1,ss,2009-04-17,6.27,187969.0,-1.0
2,ss,2009-05-04,6.24,188873.0,1.0
3,ss,2009-05-11,6.08,188873.0,-1.0
4,ss,2009-05-12,6.31,181989.0,1.0
5,ss,2009-05-14,6.11,181989.0,-1.0
6,ss,2009-05-19,6.24,178197.0,1.0
7,ss,2009-05-20,6.13,178197.0,-1.0
8,ss,2009-06-01,6.33,172567.0,1.0
9,ss,2009-06-12,6.48,172567.0,-1.0
10,ss,2009-06-15,6.5,172036.0,1.0
11,ss,2009-08-12,8.73,172036.0,-1.0
12,ss,2009-09-14,7.44,201865.0,1.0
13,ss,2009-09-16,7.29,201865.0,-1.0
14,ss,2009-10-19,6.89,213584.0,1.0
15,ss,2009-10-27,6.49,213584.0,-1.0
16,ss,2009-11-04,6.64,208759.0,1.0
17,ss,2009-11-27,6.84,208759.0,-1.0
18,ss,2009-11-30,7.08,201682.0,1.0
19,ss,2009-12-16,7.24,201682.0,-1.0
20,ss,2009-12-30,7.11,205370.0,1.0
21,ss,2010-01-07,6.87,205370.0,-1.0
22,ss,2010-03-11,5.99,235541.0,1.0
23,ss,2010-03-12,5.88,235541.0,-1.0
24,ss,2010-03-19,5.92,233950.0,1.0
25,ss,2010-03-22,5.88,233950.0,-1.0
26,ss,2010-03-29,5.95,231197.0,1.0
27,ss,2010-03-31,5.83,231197.0,-1.0
28,ss,2010-04-02,5.92,227683.0,1.0
29,ss,2010-04-08,5.81,227683.0,-1.0
30,ss,2010-04-14,5.86,225740.0,1.0
31,ss,2010-04-15,5.83,225740.0,-1.0
32,ss,2010-07-09,3.99,329841.0,1.0
33,ss,2010-07-13,3.92,329841.0,-1.0
34,ss,2010-07-19,3.96,326509.0,1.0
35,ss,2010-08-12,4.14,326509.0,-1.0
36,ss,2010-08-13,4.2,321845.0,1.0
37,ss,2010-08-20,4.21,321845.0,-1.0
38,ss,2010-08-24,4.34,312204.0,1.0
39,ss,2010-08-25,4.19,312204.0,-1.0
40,ss,2010-09-06,4.39,297981.0,1.0
41,ss,2010-09-09,4.25,297981.0,-1.0
42,ss,2010-10-08,4.19,302248.0,1.0
43,ss,2010-11-10,4.58,302248.0,-1.0
44,ss,2010-11-11,4.6,300934.0,1.0
45,ss,2010-11-12,4.3,300934.0,-1.0
46,ss,2010-12-13,4.11,314845.0,1.0
47,ss,2010-12-15,4.07,314845.0,-1.0
48,ss,2011-01-12,3.96,323591.0,1.0
49,ss,2011-01-14,3.87,323591.0,-1.0
50,ss,2011-01-26,3.86,324430.0,1.0
51,ss,2011-02-09,3.85,324430.0,-1.0
52,ss,2011-02-10,3.92,318636.0,1.0
53,ss,2011-03-02,4.07,318636.0,-1.0
54,ss,2011-03-04,4.17,310995.0,1.0
55,ss,2011-03-10,4.11,310995.0,-1.0
56,ss,2011-03-14,4.17,306520.0,1.0
57,ss,2011-03-23,4.21,306520.0,-1.0
58,ss,2011-04-07,4.32,298715.0,1.0
59,ss,2011-04-25,4.42,298715.0,-1.0
60,ss,2011-06-24,4.0,330080.0,1.0
61,ss,2011-07-07,3.97,330080.0,-1.0
62,ss,2011-07-15,3.99,328426.0,1.0
63,ss,2011-07-18,3.95,328426.0,-1.0
64,ss,2011-10-12,3.28,395513.0,1.0
65,ss,2011-10-18,3.2,395513.0,-1.0
66,ss,2011-10-25,3.28,385866.0,1.0
67,ss,2011-11-11,3.29,385866.0,-1.0
68,ss,2011-11-14,3.33,381231.0,1.0
69,ss,2011-11-15,3.31,381231.0,-1.0
70,ss,2012-01-10,2.93,430674.0,1.0
71,ss,2012-01-16,2.84,430674.0,-1.0
72,ss,2012-01-17,2.98,410441.0,1.0
73,ss,2012-01-31,2.89,410441.0,-1.0
74,ss,2012-02-02,2.93,404838.0,1.0
75,ss,2012-02-07,2.89,404838.0,-1.0
76,ss,2012-02-08,2.94,397953.0,1.0
77,ss,2012-03-12,3.01,397953.0,-1.0
78,ss,2012-03-13,3.04,394026.0,1.0
79,ss,2012-03-14,2.96,394026.0,-1.0
80,ss,2012-04-18,2.85,409234.0,1.0
81,ss,2012-04-19,2.83,409234.0,-1.0
82,ss,2012-04-20,2.85,406362.0,1.0
83,ss,2012-04-23,2.82,406362.0,-1.0
84,ss,2012-05-02,2.84,403500.0,1.0
85,ss,2012-05-07,2.83,403500.0,-1.0
86,ss,2012-05-28,2.81,406372.0,1.0
87,ss,2012-05-31,2.77,406372.0,-1.0
88,ss,2012-08-02,2.56,439707.0,1.0
89,ss,2012-08-13,2.55,439707.0,-1.0
90,ss,2012-09-07,2.47,453949.0,1.0
91,ss,2012-09-10,2.46,453949.0,-1.0
92,ss,2012-10-09,2.41,463367.0,1.0
93,ss,2012-10-15,2.4,463367.0,-1.0
94,ss,2012-10-18,2.43,457646.0,1.0
95,ss,2012-10-26,2.4,457646.0,-1.0
96,ss,2012-11-27,2.5,439341.0,1.0
97,ss,2013-02-19,2.86,439341.0,-1.0
98,ss,2013-03-01,2.88,436290.0,1.0
99,ss,2013-03-04,2.81,436290.0,-1.0
100,ss,2013-03-05,2.88,425685.0,1.0
101,ss,2013-03-08,2.82,425685.0,-1.0
102,ss,2013-03-25,2.83,424181.0,1.0
103,ss,2013-03-26,2.77,424181.0,-1.0
104,ss,2013-05-20,2.53,464420.0,1.0
105,ss,2013-06-04,2.53,464420.0,-1.0
106,ss,2013-07-11,2.31,508650.0,1.0
107,ss,2013-07-12,2.27,508650.0,-1.0
108,ss,2013-07-16,2.29,504208.0,1.0
109,ss,2013-07-18,2.28,504208.0,-1.0
110,ss,2013-07-23,2.29,502006.0,1.0
