,name,time,price,tick,Signal
0,ss,2009-02-24,5.44,183823.0,1.0
1,ss,2009-02-26,5.09,183823.0,-1.0
2,ss,2009-03-18,5.53,169197.0,1.0
3,ss,2009-03-19,5.57,169197.0,-1.0
4,ss,2009-03-24,5.98,157596.0,1.0
5,ss,2009-04-22,5.9,157596.0,-1.0
6,ss,2009-04-23,5.84,159216.0,1.0
7,ss,2009-04-24,5.87,159216.0,-1.0
8,ss,2009-05-07,6.27,149058.0,1.0
9,ss,2009-05-08,6.23,149058.0,-1.0
10,ss,2009-05-21,6.0,154772.0,1.0
11,ss,2009-08-14,8.42,154772.0,-1.0
12,ss,2009-11-02,6.47,201419.0,1.0
13,ss,2009-12-17,7.05,201419.0,-1.0
14,ss,2010-03-03,5.98,237459.0,1.0
15,ss,2010-03-04,5.81,237459.0,-1.0
16,ss,2010-03-08,5.89,234234.0,1.0
17,ss,2010-03-15,5.74,234234.0,-1.0
18,ss,2010-03-17,5.88,228657.0,1.0
19,ss,2010-03-18,5.86,228657.0,-1.0
20,ss,2010-04-01,5.88,227879.0,1.0
21,ss,2010-04-07,5.9,227879.0,-1.0
22,ss,2010-04-13,5.81,231409.0,1.0
23,ss,2010-04-15,5.83,231409.0,-1.0
24,ss,2010-07-22,4.15,325088.0,1.0
25,ss,2010-08-25,4.19,325088.0,-1.0
26,ss,2010-09-06,4.39,310278.0,1.0
27,ss,2010-09-13,4.23,310278.0,-1.0
28,ss,2010-10-11,4.38,299652.0,1.0
29,ss,2010-11-12,4.3,299652.0,-1.0
30,ss,2010-12-15,4.07,316585.0,1.0
31,ss,2010-12-16,4.03,316585.0,-1.0
32,ss,2010-12-21,4.03,316585.0,1.0
33,ss,2010-12-23,3.98,316585.0,-1.0
34,ss,2011-01-26,3.86,326427.0,1.0
35,ss,2011-02-09,3.85,326427.0,-1.0
36,ss,2011-02-10,3.92,320598.0,1.0
37,ss,2011-03-21,4.27,320598.0,-1.0
38,ss,2011-03-22,4.26,321351.0,1.0
39,ss,2011-04-06,4.21,321351.0,-1.0
40,ss,2011-04-07,4.32,313168.0,1.0
41,ss,2011-05-06,4.23,313168.0,-1.0
42,ss,2011-06-24,4.0,331175.0,1.0
43,ss,2011-06-29,3.97,331175.0,-1.0
44,ss,2011-06-30,3.99,329515.0,1.0
45,ss,2011-07-01,3.97,329515.0,-1.0
46,ss,2011-07-04,4.03,324609.0,1.0
47,ss,2011-07-12,3.91,324609.0,-1.0
48,ss,2011-07-14,3.95,321322.0,1.0
49,ss,2011-07-21,3.87,321322.0,-1.0
50,ss,2011-10-25,3.28,379121.0,1.0
51,ss,2011-10-26,3.29,379121.0,-1.0
52,ss,2011-10-27,3.29,379121.0,1.0
53,ss,2011-11-10,3.32,379121.0,-1.0
54,ss,2011-11-14,3.33,377983.0,1.0
55,ss,2011-11-21,3.2,377983.0,-1.0
56,ss,2012-01-16,2.84,425896.0,1.0
57,ss,2012-02-14,2.93,425896.0,-1.0
58,ss,2012-02-15,2.98,418750.0,1.0
59,ss,2012-02-21,2.97,418750.0,-1.0
60,ss,2012-02-22,3.01,413185.0,1.0
61,ss,2012-03-14,2.96,413185.0,-1.0
62,ss,2012-05-02,2.84,430644.0,1.0
63,ss,2012-05-11,2.76,430644.0,-1.0
64,ss,2012-05-28,2.81,422981.0,1.0
65,ss,2012-05-30,2.79,422981.0,-1.0
66,ss,2012-08-06,2.58,457410.0,1.0
67,ss,2012-08-15,2.52,457410.0,-1.0
68,ss,2012-08-20,2.52,457410.0,1.0
