,name,time,price,tick,Signal
0,ss,2009-03-25,5.83,171526.0,1.0
1,ss,2009-03-26,5.97,171526.0,-1.0
2,ss,2009-04-01,6.55,156337.0,1.0
3,ss,2009-04-02,6.93,156337.0,-1.0
4,ss,2009-04-09,6.27,172794.0,1.0
5,ss,2009-04-10,6.2,172794.0,-1.0
6,ss,2009-04-16,6.48,165328.0,1.0
7,ss,2009-04-17,6.27,165328.0,-1.0
8,ss,2009-05-07,6.27,165328.0,1.0
9,ss,2009-05-08,6.23,165328.0,-1.0
10,ss,2009-05-27,6.01,171380.0,1.0
11,ss,2009-06-01,6.33,171380.0,-1.0
12,ss,2009-06-05,6.78,160005.0,1.0
13,ss,2009-06-08,6.79,160005.0,-1.0
14,ss,2009-06-12,6.48,167659.0,1.0
15,ss,2009-06-15,6.5,167659.0,-1.0
16,ss,2009-06-19,6.71,162412.0,1.0
17,ss,2009-06-22,6.87,162412.0,-1.0
18,ss,2009-06-26,7.06,158041.0,1.0
19,ss,2009-06-29,7.06,158041.0,-1.0
20,ss,2009-07-03,6.93,161006.0,1.0
21,ss,2009-07-06,7.49,161006.0,-1.0
22,ss,2009-07-10,7.9,152650.0,1.0
23,ss,2009-07-13,7.6,152650.0,-1.0
24,ss,2009-07-17,8.88,130646.0,1.0
25,ss,2009-07-20,8.91,130646.0,-1.0
26,ss,2009-07-24,8.69,133954.0,1.0
27,ss,2009-07-27,9.24,133954.0,-1.0
28,ss,2009-07-31,10.05,123157.0,1.0
29,ss,2009-08-03,10.71,123157.0,-1.0
30,ss,2009-08-07,9.24,142751.0,1.0
31,ss,2009-08-10,9.33,142751.0,-1.0
32,ss,2009-11-02,6.47,205852.0,1.0
33,ss,2009-11-03,6.6,205852.0,-1.0
34,ss,2009-11-09,6.87,197762.0,1.0
35,ss,2009-11-10,6.8,197762.0,-1.0
36,ss,2009-11-16,7.19,187035.0,1.0
37,ss,2009-11-17,7.27,187035.0,-1.0
38,ss,2009-11-23,7.32,185758.0,1.0
39,ss,2009-11-24,7.33,185758.0,-1.0
40,ss,2009-11-30,7.08,192317.0,1.0
41,ss,2009-12-01,7.36,192317.0,-1.0
42,ss,2009-12-07,7.58,186735.0,1.0
43,ss,2009-12-08,7.43,186735.0,-1.0
44,ss,2009-12-14,7.44,186484.0,1.0
45,ss,2009-12-15,7.36,186484.0,-1.0
46,ss,2010-03-09,5.91,232237.0,1.0
47,ss,2010-03-10,5.93,232237.0,-1.0
48,ss,2010-04-01,5.88,234212.0,1.0
49,ss,2010-04-02,5.92,234212.0,-1.0
50,ss,2010-07-22,4.15,334105.0,1.0
51,ss,2010-07-23,4.12,334105.0,-1.0
52,ss,2010-07-29,4.38,314273.0,1.0
53,ss,2010-07-30,4.39,314273.0,-1.0
54,ss,2010-08-05,4.22,326933.0,1.0
55,ss,2010-08-06,4.29,326933.0,-1.0
56,ss,2010-08-12,4.14,338778.0,1.0
57,ss,2010-08-13,4.2,338778.0,-1.0
58,ss,2010-08-19,4.34,327850.0,1.0
59,ss,2010-08-20,4.21,327850.0,-1.0
60,ss,2010-09-07,4.43,311568.0,1.0
61,ss,2010-09-08,4.43,311568.0,-1.0
62,ss,2010-10-12,4.36,316571.0,1.0
63,ss,2010-10-13,4.54,316571.0,-1.0
64,ss,2010-10-19,4.71,305145.0,1.0
65,ss,2010-10-20,4.58,305145.0,-1.0
66,ss,2010-10-26,4.56,306483.0,1.0
67,ss,2010-10-27,4.62,306483.0,-1.0
68,ss,2010-11-02,4.76,297469.0,1.0
69,ss,2010-11-03,4.62,297469.0,-1.0
70,ss,2010-11-09,4.69,293029.0,1.0
71,ss,2010-11-10,4.58,293029.0,-1.0
72,ss,2010-12-22,4.03,333020.0,1.0
73,ss,2010-12-23,3.98,333020.0,-1.0
74,ss,2011-02-01,3.9,339852.0,1.0
75,ss,2011-02-09,3.85,339852.0,-1.0
76,ss,2011-02-16,4.1,319129.0,1.0
77,ss,2011-02-17,4.18,319129.0,-1.0
78,ss,2011-02-23,4.16,320663.0,1.0
79,ss,2011-02-24,4.14,320663.0,-1.0
80,ss,2011-03-02,4.07,326178.0,1.0
81,ss,2011-03-03,4.06,326178.0,-1.0
82,ss,2011-03-09,4.19,316058.0,1.0
83,ss,2011-03-10,4.11,316058.0,-1.0
84,ss,2011-03-16,4.5,288666.0,1.0
85,ss,2011-03-17,4.33,288666.0,-1.0
86,ss,2011-03-24,4.17,299742.0,1.0
87,ss,2011-03-25,4.21,299742.0,-1.0
88,ss,2011-03-31,4.21,299742.0,1.0
89,ss,2011-04-01,4.21,299742.0,-1.0
90,ss,2011-04-12,4.71,267923.0,1.0
91,ss,2011-04-13,4.61,267923.0,-1.0
92,ss,2011-04-19,4.57,270268.0,1.0
93,ss,2011-04-20,4.53,270268.0,-1.0
94,ss,2011-04-26,4.37,280163.0,1.0
95,ss,2011-04-27,4.38,280163.0,-1.0
96,ss,2011-05-04,4.23,290098.0,1.0
97,ss,2011-05-05,4.28,290098.0,-1.0
98,ss,2011-06-30,3.99,311183.0,1.0
99,ss,2011-07-01,3.97,311183.0,-1.0
100,ss,2011-07-08,3.98,310401.0,1.0
101,ss,2011-07-11,3.97,310401.0,-1.0
102,ss,2011-07-19,3.92,314360.0,1.0
103,ss,2011-07-20,3.91,314360.0,-1.0
104,ss,2011-10-31,3.32,370225.0,1.0
105,ss,2011-11-01,3.3,370225.0,-1.0
106,ss,2011-11-07,3.39,360396.0,1.0
107,ss,2011-11-08,3.37,360396.0,-1.0
108,ss,2011-11-16,3.24,374857.0,1.0
109,ss,2011-11-17,3.23,374857.0,-1.0
110,ss,2012-01-18,2.93,413238.0,1.0
111,ss,2012-01-19,2.96,413238.0,-1.0
112,ss,2012-02-01,2.87,426197.0,1.0
113,ss,2012-02-02,2.93,426197.0,-1.0
114,ss,2012-02-08,2.94,424747.0,1.0
115,ss,2012-02-09,2.93,424747.0,-1.0
116,ss,2012-02-16,2.96,420442.0,1.0
117,ss,2012-02-17,2.96,420442.0,-1.0
118,ss,2012-02-24,3.06,406702.0,1.0
119,ss,2012-02-27,3.09,406702.0,-1.0
120,ss,2012-03-02,3.1,405390.0,1.0
121,ss,2012-03-05,3.07,405390.0,-1.0
122,ss,2012-03-09,3.05,408049.0,1.0
123,ss,2012-03-12,3.01,408049.0,-1.0
124,ss,2012-05-04,2.86,429450.0,1.0
125,ss,2012-05-07,2.83,429450.0,-1.0
126,ss,2012-05-28,2.81,432506.0,1.0
127,ss,2012-05-29,2.82,432506.0,-1.0
128,ss,2012-08-09,2.58,472740.0,1.0
129,ss,2012-08-10,2.57,472740.0,-1.0
130,ss,2012-08-21,2.54,478323.0,1.0
131,ss,2012-08-22,2.52,478323.0,-1.0
132,ss,2012-10-22,2.42,498089.0,1.0
133,ss,2012-10-23,2.41,498089.0,-1.0
134,ss,2012-10-29,2.38,504367.0,1.0
