,name,time,price,tick,Signal
0,ss,2009-01-14,4.96,201612.0,1.0
1,ss,2009-02-02,5.3,201612.0,-1.0
2,ss,2009-02-03,5.28,202376.0,1.0
3,ss,2009-02-12,5.53,202376.0,-1.0
4,ss,2009-02-16,6.22,179926.0,1.0
5,ss,2009-02-18,5.5,179926.0,-1.0
6,ss,2009-02-19,5.71,173309.0,1.0
7,ss,2009-02-20,5.81,173309.0,-1.0
8,ss,2009-03-04,5.28,190705.0,1.0
9,ss,2009-03-09,4.86,190705.0,-1.0
10,ss,2009-03-13,5.02,184627.0,1.0
11,ss,2009-04-08,6.14,184627.0,-1.0
12,ss,2009-04-13,6.82,166218.0,1.0
13,ss,2009-04-17,6.27,166218.0,-1.0
14,ss,2009-04-29,5.86,177848.0,1.0
15,ss,2009-04-30,5.82,177848.0,-1.0
16,ss,2009-05-04,6.24,165877.0,1.0
17,ss,2009-05-08,6.23,165877.0,-1.0
18,ss,2009-05-15,6.11,169135.0,1.0
19,ss,2009-05-18,6.14,169135.0,-1.0
20,ss,2009-05-20,6.13,169411.0,1.0
21,ss,2009-05-21,6.0,169411.0,-1.0
22,ss,2009-05-27,6.01,169129.0,1.0
23,ss,2009-06-12,6.48,169129.0,-1.0
24,ss,2009-06-18,6.73,162847.0,1.0
25,ss,2009-06-29,7.06,162847.0,-1.0
26,ss,2009-07-06,7.49,153498.0,1.0
27,ss,2009-07-13,7.6,153498.0,-1.0
28,ss,2009-07-14,8.22,141920.0,1.0
29,ss,2009-07-23,8.81,141920.0,-1.0
30,ss,2009-07-27,9.24,135315.0,1.0
31,ss,2009-08-06,9.79,135315.0,-1.0
32,ss,2009-08-21,7.96,166424.0,1.0
33,ss,2009-08-24,7.94,166424.0,-1.0
34,ss,2009-08-25,7.46,177133.0,1.0
35,ss,2009-08-26,7.46,177133.0,-1.0
36,ss,2009-09-03,7.04,187700.0,1.0
37,ss,2009-09-18,6.97,187700.0,-1.0
38,ss,2009-10-12,6.27,208656.0,1.0
39,ss,2009-10-27,6.49,208656.0,-1.0
40,ss,2009-11-03,6.6,205178.0,1.0
41,ss,2009-11-26,7.24,205178.0,-1.0
42,ss,2009-12-02,7.35,202107.0,1.0
43,ss,2009-12-09,7.25,202107.0,-1.0
44,ss,2009-12-14,7.44,196946.0,1.0
45,ss,2009-12-16,7.24,196946.0,-1.0
46,ss,2009-12-28,6.99,203990.0,1.0
47,ss,2010-01-06,7.09,203990.0,-1.0
48,ss,2010-01-19,6.79,213003.0,1.0
49,ss,2010-01-20,6.5,213003.0,-1.0
50,ss,2010-02-05,5.71,242472.0,1.0
51,ss,2010-02-09,5.77,242472.0,-1.0
52,ss,2010-02-11,5.98,233957.0,1.0
53,ss,2010-02-23,5.84,233957.0,-1.0
54,ss,2010-02-25,6.02,226962.0,1.0
55,ss,2010-02-26,5.94,226962.0,-1.0
56,ss,2010-03-01,6.02,223946.0,1.0
57,ss,2010-03-02,5.95,223946.0,-1.0
58,ss,2010-03-10,5.93,224701.0,1.0
59,ss,2010-03-12,5.88,224701.0,-1.0
60,ss,2010-03-19,5.92,223183.0,1.0
61,ss,2010-03-23,5.82,223183.0,-1.0
62,ss,2010-03-29,5.95,218307.0,1.0
63,ss,2010-03-31,5.83,218307.0,-1.0
64,ss,2010-04-01,5.88,216450.0,1.0
65,ss,2010-04-02,5.92,216450.0,-1.0
66,ss,2010-04-07,5.9,217184.0,1.0
67,ss,2010-04-08,5.81,217184.0,-1.0
68,ss,2010-04-14,5.86,215331.0,1.0
69,ss,2010-04-16,5.74,215331.0,-1.0
70,ss,2010-05-13,4.52,273452.0,1.0
71,ss,2010-05-14,4.44,273452.0,-1.0
72,ss,2010-05-21,4.2,289077.0,1.0
73,ss,2010-05-28,4.37,289077.0,-1.0
74,ss,2010-06-11,4.07,310385.0,1.0
75,ss,2010-06-18,4.01,310385.0,-1.0
76,ss,2010-06-21,4.13,301367.0,1.0
77,ss,2010-06-25,4.03,301367.0,-1.0
78,ss,2010-07-06,3.86,314639.0,1.0
79,ss,2010-07-08,3.84,314639.0,-1.0
80,ss,2010-07-09,3.99,302811.0,1.0
81,ss,2010-07-15,3.86,302811.0,-1.0
82,ss,2010-07-19,3.96,295164.0,1.0
83,ss,2010-07-27,4.09,295164.0,-1.0
84,ss,2010-07-28,4.25,284052.0,1.0
85,ss,2010-08-04,4.3,284052.0,-1.0
86,ss,2010-08-11,4.24,288072.0,1.0
87,ss,2010-08-12,4.14,288072.0,-1.0
88,ss,2010-08-16,4.31,276709.0,1.0
89,ss,2010-08-20,4.21,276709.0,-1.0
90,ss,2010-08-24,4.34,268421.0,1.0
91,ss,2010-08-25,4.19,268421.0,-1.0
92,ss,2010-09-02,4.21,267146.0,1.0
93,ss,2010-09-03,4.17,267146.0,-1.0
94,ss,2010-09-06,4.39,253758.0,1.0
95,ss,2010-09-10,4.23,253758.0,-1.0
96,ss,2010-09-30,4.09,262444.0,1.0
97,ss,2010-10-21,4.61,262444.0,-1.0
98,ss,2010-10-27,4.62,261876.0,1.0
99,ss,2010-10-29,4.51,261876.0,-1.0
100,ss,2010-11-01,4.61,256195.0,1.0
